Part Number,Mfg Name,VID,Vendor Part Num,Description,Customer Ref,Part Value,Tol,Size,Qty-1,Qty-5,Qty-25,Part References,Value,XX
BLM31PG121SN1L,Murata,ME,81-BLM31PG121SN1L,EMI Filter Beads Chips & Arrays 1206 120 OHM,fer002,120,*,*,2,10,50,"FB1, FB2",BLM31PG121SN1L,X
591,Keystone electronics,ME,534-591,Cylindrical Battery Contacts Clips Holders & Springs AA/AAA SPRING CONT,con025,591,*,*,1,5,25,X1,CLIPAAA-CLIPAAA_2,X
PJ-202A,CUI,ME,490-PJ-202A,CONN POWER JACK 2.1MM PCB,con014,PJ-202A,*,*,1,5,25,J2,DCJ0202,X
SSL-LX5093GD,Lumex,ME,696-SSL-LX5093GD,LED GRN DIFF 5MM ROUND T/H,led010,Green,*,*,1,5,25,LED1,GREEN,X
NMJ4HCD2,REAN,ME,550-12202,Phone Connectors 2C MONO 2-SPST NC,con005,*,*,*,1,5,25,J1,INPUT,X
LM4041CIDBZR,Texas Instruments,ME,595-LM4041CIDBZR,Voltage References Adjustable Precision Mcrpwr Shunt .5%,vref002,LM4041CIDBZR,*,*,1,5,25,U4,LM4041CIDBZ,X
LME49723MA/NOPB,Texas Instruments,ME,926-LME49723MA/NOPB,Audio Amplifiers Dual Audio Op Amp,icopamp002,LME49723,*,*,2,10,50,"U1, U3",LME49723,X
MBR0520LT1G,ON Semiconductor,ME,863-MBR0520LT1G,Schottky Diodes & Rectifiers 0.5A 20V,diodes006,MBR0520,*,*,1,5,25,D3,MBR0520LT1G,X
MMBT5089,Fairchild Semiconductor,ME,512-MMBT5089,Transistors Bipolar - BJT NPN Transistor General Purpose ,bjt001,MMBT5089,*,*,3,15,75,"T1, T2, T3",MMBT5089,X
NFM3DPC223R1H3L,Murata,ME,81-NFM3DPC223R1H3L,EMI/RFI Suppressors & Ferrites 0.022uF 50V 2A',fer001,22n,*,*,1,5,25,CF1,NFM3DC,X
831-87-032-10-001101,APEM Inc.,ME,437-8318703210001101,Conn SIP Socket Strip SKT 32 POS 2mm Solder ST Thru-Hole,con024,831-87-032-10-001101,*,*,1,5,25,U2,NUTUBE 6P1,X
NMJ4HCD2,REAN,ME,550-12202,Phone Connectors 2C MONO 2-SPST NC,con005,*,*,*,1,5,25,J3,OUTPUT,X
TPS62175DQCR,Texas Instruments,ME,595-TPS62175DQCR,IC REG BUCK BST ADJ 0.5A 10WSON,icreg009,TPS62175,*,*,1,5,25,U5,TPS62175DQCR,X
1249,Keystone electronics,ME,534-1249,Test Points TP TERM BRS MATTE TINNED PLATED,tp001,*,*,*,5,25,125,"TP1, TP2, TP3, TP4, TP5",TPTP10R,X
MHS122K,APEM Inc.,ME,642-MHS122K,SWITCH SLIDE SPDT 300MA 30V,sw0013,MHS122K,*,*,1,5,25,S1,clip,X
